probe_1,probe_2,rp,rp_pval,gene_1,gene_2,rg,rg_se,p1_h2,p2_h2,exp_se,p1_chr,p2_chr,p1_co,p2_co,dist,cis_trans,p_val
ILMN_1737195,ILMN_1767481,-0.039,0.104,CENPK,XRCC6BP1,-0.508,0.085,0.999,0.832,0.108,5,12,64853096,56633731,NA,trans,2.28E-12
ILMN_1676528,ILMN_1725338,-0.022,0.358,BTN3A2,CLDN23,0.477,0.08,0.999,0.666,0.125,6,8,26378113,8561463,NA,trans,2.48E-12
ILMN_2218856,ILMN_2105573,0.696,0,CCL3L1,CCL3L3,0.905,0.152,0.298,0.434,0.107,17,17,34624274,34522555,101719,cis,2.62E-12
ILMN_1782551,ILMN_1691071,0.603,0,E2F5,FCRLA,1,0.168,0.3,0.394,0.148,8,1,86124431,159950596,NA,trans,2.64E-12
ILMN_2403946,ILMN_1739586,0.62,0,FEZ2,FEZ2,1,0.168,0.368,0.842,0.087,2,2,36779705,36779555,150,cis,2.64E-12
ILMN_1685978,ILMN_1736548,0.132,0,ATPIF1,PHACTR4,1,0.169,0.565,0.697,0.176,1,1,28436788,28699120,262332,cis,3.28E-12
ILMN_2118663,ILMN_1723846,-0.052,0.03,ERV3,FAM119B,-0.506,0.086,0.999,0.999,0.097,7,12,64089138,56462454,NA,trans,4.01E-12
ILMN_1661266,ILMN_1820787,0.048,0.046,HLA-DQB1,HS.573264,0.5,0.085,0.718,0.852,0.124,6,6,32736001,26582548,6153453,cis,4.04E-12
ILMN_2070052,ILMN_1768311,0.51,0,LOC613037,LOC728888,1,0.17,0.455,0.369,0.153,16,16,30234500,29301000,933500,cis,4.04E-12
ILMN_1737195,ILMN_1702168,0.004,0.869,CENPK,HSD17B12,-0.499,0.085,0.999,0.668,0.124,5,11,64853096,43833484,NA,trans,4.34E-12
ILMN_1680453,ILMN_2366041,0.762,0,ITM2C,ITM2C,0.809,0.138,0.331,0.37,0.1,2,2,231451910,231451845,65,cis,4.56E-12
ILMN_1743145,ILMN_1696463,-0.044,0.066,ERAP2,SPI1,0.497,0.085,0.999,0.906,0.11,5,11,96274820,47376454,NA,trans,5.00E-12
ILMN_1792152,ILMN_2180866,0.031,0.189,CCDC135,RPS26P11,0.677,0.116,0.36,0.929,0.183,16,X,56322460,71181176,NA,trans,5.34E-12
ILMN_1737195,ILMN_1758623,0.031,0.199,CENPK,HIST1H2BD,0.496,0.085,0.999,0.829,0.108,5,6,64853096,26158384,NA,trans,5.37E-12
ILMN_1810274,ILMN_1892519,0.045,0.061,HOXB2,HS.540335,0.84,0.144,0.999,0.258,0.222,17,15,46620338,36944730,NA,trans,5.43E-12
ILMN_1700067,ILMN_1715169,0.06,0.013,BTN3A2,HLA-DRB1,0.489,0.084,0.999,0.816,0.106,6,6,26368410,32654825,6286415,cis,5.83E-12
ILMN_1793894,ILMN_1787808,0.483,0,ANAPC13,CEP63,0.843,0.145,0.568,0.649,0.103,3,3,135679438,134280266,1399172,cis,6.11E-12
ILMN_1660923,ILMN_1656670,0.569,0,HCG4,HLA-G,0.891,0.154,0.392,0.538,0.116,6,6,29868678,29906620,37942,cis,7.22E-12
ILMN_1670841,ILMN_1794230,0.133,0,CPNE1,SCAND1,0.836,0.145,0.966,0.356,0.174,20,20,34214120,34541852,327732,cis,8.14E-12
ILMN_1778536,ILMN_1659227,0.545,0,BTLA,CD79A,0.898,0.156,0.354,0.315,0.168,3,19,113672763,42383286,NA,trans,8.59E-12
ILMN_1676528,ILMN_1773313,0.019,0.415,BTN3A2,USMG5,-0.489,0.085,0.999,0.999,0.102,6,10,26378113,105154019,NA,trans,8.77E-12
ILMN_2147105,ILMN_1768311,0.644,0,LOC440348,LOC728888,1,0.175,0.501,0.369,0.106,16,16,72982993,29301000,43681993,cis,1.10E-11
ILMN_1668605,ILMN_2285568,0.666,0,NAAA,NAAA,1,0.175,0.537,0.289,0.108,4,4,77060143,77055113,5030,cis,1.10E-11
ILMN_1786606,ILMN_1654823,0.478,0,LOC729764,MGC70863,0.965,0.169,0.541,0.457,0.132,5,22,180834008,49569316,NA,trans,1.13E-11
ILMN_2214278,ILMN_2179837,-0.055,0.022,ANKRD32,BANF1,-0.724,0.127,0.926,0.436,0.167,5,11,94057160,65527778,NA,trans,1.19E-11
ILMN_2343105,ILMN_1717524,0.387,0,LIPT1,LIPT1,1,0.176,0.305,0.561,0.19,2,2,99145434,99145252,182,cis,1.33E-11
ILMN_2334242,ILMN_2162972,-0.487,0,CREB1,LYZ,-0.859,0.152,0.441,0.911,0.099,2,12,208171507,68033815,NA,trans,1.59E-11
ILMN_1676528,ILMN_1778347,0.051,0.031,BTN3A2,NUDT2,0.48,0.085,0.999,0.96,0.098,6,9,26378113,34333384,NA,trans,1.63E-11
ILMN_1782178,ILMN_2196479,-0.008,0.749,LOC642946,XRN2,0.502,0.089,0.999,0.999,0.102,1,20,211096907,21311135,NA,trans,1.70E-11
ILMN_1797428,ILMN_1691693,0.695,0,FCRL3,FCRL3,1,0.178,0.394,0.54,0.085,1,1,157648042,155913075,1734967,cis,1.93E-11
